"","Rabbit","Position","Order","Observation","Replication"
"1",1,1,3,7.9,1
"2",1,2,4,6.1,1
"3",1,3,1,7.5,1
"4",1,4,6,6.9,1
"5",1,5,2,6.7,1
"6",1,6,5,7.3,1
"7",2,1,5,8.7,1
"8",2,2,2,8.2,1
"9",2,3,3,8.1,1
"10",2,4,1,8.5,1
"11",2,5,4,9.9,1
"12",2,6,6,8.3,1
"13",3,1,4,7.4,1
"14",3,2,6,7.7,1
"15",3,3,5,6,1
"16",3,4,3,6.8,1
"17",3,5,1,7.3,1
"18",3,6,2,7.3,1
"19",4,1,1,7.4,1
"20",4,2,5,7.1,1
"21",4,3,6,6.4,1
"22",4,4,2,7.7,1
"23",4,5,3,6.4,1
"24",4,6,4,5.8,1
"25",5,1,6,7.1,1
"26",5,2,3,8.1,1
"27",5,3,2,6.2,1
"28",5,4,4,8.5,1
"29",5,5,5,6.4,1
"30",5,6,1,6.4,1
"31",6,1,2,8.2,1
"32",6,2,1,5.9,1
"33",6,3,4,7.5,1
"34",6,4,5,8.5,1
"35",6,5,6,7.3,1
"36",6,6,3,7.7,1
"37",1,1,6.3,7.9,2
"38",1,2,7.3,6.1,2
"39",1,3,7.8,7.5,2
"40",1,4,8.3,6.9,2
"41",1,5,6.6,6.7,2
"42",1,6,8.6,7.3,2
"43",2,1,8,8.7,2
"44",2,2,9.9,8.2,2
"45",2,3,6.5,8.1,2
"46",2,4,7.9,8.5,2
"47",2,5,6.9,9.9,2
"48",2,6,6.4,8.3,2
"49",3,1,9.7,7.4,2
"50",3,2,10,7.7,2
"51",3,3,7.7,6,2
"52",3,4,6.5,6.8,2
"53",3,5,9.8,7.3,2
"54",3,6,6.7,7.3,2
"55",4,1,6.2,7.4,2
"56",4,2,6.3,7.1,2
"57",4,3,9.2,6.4,2
"58",4,4,7.4,7.7,2
"59",4,5,6.9,6.4,2
"60",4,6,8.5,5.8,2
"61",5,1,8.1,7.1,2
"62",5,2,6.9,8.1,2
"63",5,3,9.7,6.2,2
"64",5,4,9.3,8.5,2
"65",5,5,6.6,6.4,2
"66",5,6,8.1,6.4,2
"67",6,1,8.8,8.2,2
"68",6,2,8.4,5.9,2
"69",6,3,7.2,7.5,2
"70",6,4,7.6,8.5,2
"71",6,5,7,7.3,2
"72",6,6,8.8,7.7,2
